1;Pollo;1159 
2;Huevo;718 
3;Maíz;1805 
4;Aceite de Maravilla;3112 
5;Yogur ;26027 
6;Crema;9678 
7;Leche;1307 
8;Trigo;1601 
9;Carne;1704 
10;Pan Marraqueta;15718 
11;Margarina ;6238 
12;Cereal Avena ;7413 
13;Arroz;1504 
14;Cebada;932 
15;Avena;1182 
16;Pasta de Trigo ;9793 
17;Cereal Arroz ;8779 
18;Pastel ;9474 
19;Sémola;1613 
20;Cacao;1612 
21;Algodón;1462 
22;Mantequilla ;12725 
23;Harina;4294 
24;Tela de Seda ;2774 
25;Azúcar;1016 
26;Sal;926 
27;Levadura;1376 
28;Tela de Lino;2382 
29;Tela de Lana;4865 
30;Tela de Algodón;3918 
31;Lana;1763 
32;Cuero;1135 
33;Seda;992 
34;Cerveza;4538 
35;Tequila;3361 
36;Papel;3968 
37;Lino;916 
38;Semillas Maravilla;1513 
39;Uva;1,217 
40;Queso;8,744 
41;Suero de Leche;3148 
42;Cereal Maíz;7275 
43;Madera;1651 
44;Agave;1254 
45;Celulosa;1695 
46;Chocolate;8514 
47;Vino;7244 
48;Pasta de Sémola;6627 
49;Leche Descremada;3568 
50;Arroz con Leche;7266 
51;Pan Hallulla;27701 
52;Harina Integral;1949 
53;Pan Integral;10492 
54;Hamburguesas;6314 
55;Galletas Integrales;7678 
56;Hamburguesas de Pollo;5052 
